energy level,average power,variation of power,target level,infer level,judge
22.5172,26.79812,3.445737186,0,0,true
18.2306,24.4399,4.54690395,0,0,true
15.0701,21.35298,4.638515918,0,0,true
12.8139,18.64632,4.934747505,0,0,true
9.91019,15.708398,4.876629128,0,0,true
6.92265,12.589488,4.39652226,0,0,true
5.03275,9.949918,4.115918112,0,0,true
3.1254,7.560978,3.859589946,0,0,true
1.67025,5.332248,3.234850768,0,0,true
0.671287,3.4844674,2.527477831,0,0,true
0.0460463,2.10914666,2.006033469,0,0,true
0.0680765,1.11621196,1.302458774,0,0,true
0.605077,0.61214736,0.659471795,0,0,true
1.46283,0.57066336,0.577729898,0,0,true
3.44349,1.12510396,1.41783931,0,0,true
5.43432,2.2027587,2.215815425,0,0,true
6.27149,3.4434414,2.446456134,0,0,true
9.12793,5.148012,2.901287817,0,0,true
12.2272,7.300886,3.428917032,0,0,true
15.089,9.629988,4.052206905,0,0,true
17.899,12.122924,4.620086666,0,0,true
20.5489,14.978406,4.510257965,0,0,true
25.0615,18.16512,4.950623502,0,0,true
26.8249,21.08466,4.877217929,0,0,true
27.7163,23.61012,4.221669933,0,0,true
31.482,26.32672,3.99186715,0,0,true
32.447,28.70634,3.142518097,0,0,true
33.9361,30.48126,3.074715677,0,0,true
34.4494,32.00616,2.672361902,0,0,true
35.9832,33.65954,1.754401162,0,0,true
34.9666,34.35646,1.30861871,0,0,true
33.9361,34.65428,0.856900372,0,0,true
31.9765,34.26236,1.485246593,0,0,true
30.0485,33.38218,2.380749764,0,0,true
28.1804,31.82162,2.774362553,0,0,true
26.3722,30.10274,2.99252766,0,0,true
22.5404,27.8236,3.617417202,0,0,true
20.1529,25.45888,4.061292453,0,0,true
17.1639,22.88196,4.486532168,0,0,true
13.1478,19.87544,5.049764239,0,0,true
9.66607,16.534214,5.201078371,0,0,true
8.86464,13.799062,4.83600242,0,0,true
5.43432,10.855346,4.467046272,0,0,true
3.77699,8.177964,3.683795862,0,0,true
1.91159,5.930722,3.301480653,0,0,true
0.745137,4.1465354,3.186689348,0,0,true
0.0914267,2.39189274,2.202810548,0,0,true
0.0167025,1.30836924,1.575162405,0,0,true
0.417562,0.63648364,0.769227566,0,0,true
1.16165,0.48649564,0.475464423,0,0,true
2.54323,0.84611424,1.051296683,0,0,true
4.28593,1.6850149,1.743911297,0,0,true
6.69361,3.0203964,2.527421923,0,0,true
9.38013,4.81291,3.28471406,0,0,true
11.6044,6.90146,3.678988215,0,0,true
14.4147,9.275754,3.98145902,0,0,true
16.8022,11.779008,3.994549619,0,0,true
19.7391,14.388106,4.10154046,0,0,true
22.9357,17.09922,4.430614533,0,0,true
24.5998,19.6983,4.207462116,0,0,true
27.256,22.26656,4.093701046,0,0,true
29.5427,24.81466,3.796461117,0,0,true
30.5047,26.96778,3.204999425,0,0,true
30.9643,28.5735,2.641538598,0,0,true
31.4547,29.94448,1.660120147,0,0,true
32.4193,30.97714,1.071082578,0,0,true
31.4547,31.35954,0.712068851,0,0,true
30.9643,31.45146,0.594008626,0,0,true
30.0217,31.26294,0.871862207,0,0,true
28.1545,30.6029,1.619254316,0,0,true
26.3472,29.38848,2.116927727,0,0,true
23.3345,27.76444,3.04628508,0,0,true
21.7146,25.9145,3.404757008,0,0,true
17.8784,23.48584,4.018312629,0,0,true
15.74,21.00294,4.241610384,0,0,true
13.1301,18.35952,4.196641003,0,0,true
11.0302,15.89866,4.157418935,0,0,true
7.86367,13.128474,3.921185492,0,0,true
5.82774,10.718342,3.974859157,0,0,true
3.93016,8.356374,3.747196382,0,0,true
2.41273,6.2129,3.381270584,0,0,true
1.25819,4.258498,2.644631309,0,0,true
0.362763,2.7583166,2.173882697,0,0,true
0.00728393,1.594225386,1.602680793,0,0,true
0.538719,0.915937186,0.952821035,0,0,true
0.82284,0.597959186,0.472810748,0,0,true
1.91159,0.728639186,0.724316037,0,0,true
3.29136,1.314358586,1.30545695,0,0,true
4.84847,2.2825958,1.796590814,0,0,true
7.1686,3.608572,2.497589866,0,0,true
9.92555,5.429114,3.182917803,0,0,true
11.9222,7.431236,3.545017319,0,0,true
15.7594,9.924844,4.224864767,0,0,true
17.899,12.53495,4.334519969,0,0,true
20.1529,15.13181,4.20325154,0,0,true
22.9591,17.73852,4.208798358,0,0,true
25.9481,20.5437,4.03355878,0,0,true
26.3722,22.66626,3.661760735,0,0,true
29.0938,24.90522,3.43350258,0,0,true
31.482,27.17104,3.246365209,0,0,true
31.9765,28.97452,2.79485487,0,0,true
37.0441,31.19372,3.955360766,0,0,true
32.447,32.40868,2.894932287,0,0,true
30.9914,32.7882,2.440420446,0,0,true
30.5047,32.59274,2.604793589,0,0,true
28.6483,31.9271,3.166357162,0,0,true
26.8249,29.88326,2.18320961,0,0,true
25.0615,28.40616,2.491641099,0,0,true
22.1256,26.633,3.235528844,0,0,true
20.1529,24.56264,3.443990058,0,0,true
17.1639,22.26576,3.844304793,0,0,true
14.1017,19.72112,4.260424622,0,0,true
11.3401,16.97684,4.37810878,0,0,true
9.12793,14.377306,4.415289331,0,0,true
6.93549,11.733824,4.033059429,0,0,true
4.65711,9.232466,3.686884521,0,0,true
2.55101,6.922328,3.486445056,0,0,true
1.46283,4.946874,3.138411738,0,0,true
0.42072,3.205432,2.609609765,0,0,true
0.0470988,1.82775376,1.858225078,0,0,true
0.223786,0.94108896,1.05458348,0,0,true
0.535146,0.53791616,0.5497244,0,0,true
1.56482,0.55831416,0.592826525,0,0,true
3.1254,1.09925016,1.276098736,0,0,true
4.64659,2.0191484,1.85467285,0,0,true
6.92265,3.3589212,2.530083573,0,0,true
9.38013,5.127918,3.091916565,0,0,true
11.6044,7.135834,3.4398514,0,0,true
14.4147,9.393694,3.832067363,0,0,true
17.1437,11.893116,4.032090216,0,0,true
19.7391,14.456406,4.154294783,0,0,true
22.1026,17.0009,4.16401599,0,0,true
24.1903,19.51808,3.880734499,0,0,true
26.3472,21.90458,3.617868237,0,0,true
28.1545,24.10674,3.335560695,0,0,true
28.6222,25.88336,2.740212917,0,0,true
30.0217,27.46718,2.254126779,0,0,true
30.5047,28.73006,1.646101902,0,0,true
30.5047,29.56156,1.101472877,0,0,true
29.0675,29.74416,0.858855871,0,0,true
28.6222,29.74416,0.858855871,0,0,true
26.7997,29.09976,1.538432081,0,0,true
25.4783,28.09448,1.972008482,0,0,true
23.3345,26.66044,2.351657147,0,0,true
21.3074,25.10842,2.869600771,0,0,true
18.988,23.18158,3.141964493,0,0,true
16.0902,21.03968,3.665581926,0,0,true
14.0834,18.7607,3.757183059,0,0,true
11.3237,16.35854,3.937104183,0,0,true
8.85013,13.867086,3.963945246,0,0,true
6.69361,11.408208,3.803157908,0,0,true
4.64659,9.119486,3.723681888,0,0,true
2.97213,6.897232,3.31363496,0,0,true
1.56482,4.945456,2.903211911,0,0,true
0.740933,3.3236166,2.397617412,0,0,true
0.118214,2.0085374,1.821047832,0,0,true
0.00770611,1.080760622,1.225256749,0,0,true
0.365707,0.559476022,0.628560218,0,0,true
1.16691,0.479894022,0.476168258,0,0,true
2.28567,0.788841422,0.95162859,0,0,true
3.77699,1.520596622,1.534955237,0,0,true
5.64089,2.6472334,2.107473487,0,0,true
7.87735,4.149562,2.675330765,0,0,true
10.4864,6.01346,3.260303012,0,0,true
12.8314,8.122606,3.635371585,0,0,true
15.4319,10.453588,3.88064818,0,0,true
17.5295,12.83131,3.836547283,0,0,true
20.9264,15.44112,4.056155861,0,0,true
22.1256,17.76896,3.835636477,0,0,true
24.624,20.12748,3.66221997,0,0,true
26.3722,22.31554,3.415312722,0,0,true
28.1804,24.44572,2.977394571,0,0,true
30.5047,26.36138,3.218554525,0,0,true
31.482,28.23266,2.837553775,0,0,true
30.5047,29.4088,2.087466046,0,0,true
30.0485,30.14406,1.2160693,0,0,true
28.6483,30.23764,1.031121898,0,0,true
28.1804,29.77278,1.354002469,0,0,true
27.2815,28.93268,1.331305161,0,0,true
26.3722,28.10618,1.39273054,0,0,true
23.7842,26.85332,1.924669236,0,0,true
21.3299,25.38964,2.801420455,0,0,true
18.2515,23.40386,3.702698897,0,0,true
15.4319,21.03394,4.338011259,0,0,true
12.8314,18.32578,4.39850419,0,0,true
10.7566,15.72026,4.21134839,0,0,true
8.6195,13.17818,3.794196195,0,0,true
6.27149,10.782178,3.565226574,0,0,true
4.11601,8.519,3.465954771,0,0,true
2.15488,6.383696,3.433619943,0,0,true
0.984959,4.4293678,3.085695298,0,0,true
0.317288,2.7689254,2.431702568,0,0,true
0.0173387,1.51809514,1.668314898,0,0,true
0.0291357,0.70072028,0.902832859,0,0,true
0.476214,0.36498708,0.397701948,0,0,true
1.3529,0.43857528,0.547082717,0,0,true
3.1254,1.00019768,1.306179148,0,0,true
4.46959,1.89064794,1.866184532,0,0,true
6.04158,3.0931368,2.261951077,0,0,true
7.61943,4.52178,2.444362336,0,0,true
10.1885,6.2889,2.754812995,0,0,true
11.9054,8.0449,3.019753241,0,0,true
15.0701,10.165002,3.555702095,0,0,true
17.1437,12.385426,3.795400922,0,0,true
19.7391,14.80936,3.860207115,0,0,true
20.5268,16.87702,3.520137764,0,0,true
22.1026,18.91646,2.799936734,0,0,true
22.9357,20.48958,2.255263572,0,0,true
25.0371,22.06826,2.083790271,0,0,true
26.3472,23.38988,2.319465007,0,0,true
27.256,24.73572,2.191626217,0,0,true
26.7997,25.67514,1.741195332,0,0,true
25.9233,26.27266,0.85131455,0,0,true
25.0371,26.27266,0.85131455,0,0,true
29.5427,26.91176,1.698845725,0,0,true
25.0371,26.46798,1.867849879,0,0,true
22.1026,25.52856,2.668773473,0,0,true
19.7391,24.29172,3.681119697,0,0,true
17.5091,22.78612,4.698849721,0,0,true
14.7312,19.82382,3.989705856,0,0,true
11.9054,17.19748,4.021995438,0,0,true
10.1885,14.81466,3.917340676,0,0,true
8.85013,12.636866,3.49977882,0,0,true
6.69361,10.473768,3.048871517,0,0,true
5.42296,8.61212,2.609537217,0,0,true
2.97213,6.825466,2.839096221,0,0,true
1.90486,5.168738,2.802699449,0,0,true
0.818422,3.5623964,2.443943144,0,0,true
0.223786,2.2684316,2.053139586,0,0,true
0.0,1.1838396,1.242433309,0,0,true
0.0680765,0.6030289,0.796052998,0,0,true
0.479586,0.3179741,0.335035164,0,0,true
2.15488,0.5852657,0.896597099,0,0,true
2.83913,1.1083345,1.303531482,0,0,true
4.47991,2.0043165,1.797357405,0,0,true
6.49325,3.2893512,2.294934764,0,0,true
7.6329,4.720014,2.334767534,0,0,true
9.39507,6.168052,2.578600573,0,0,true
11.3401,7.868246,2.636843962,0,0,true
13.468,9.665864,2.807626041,0,0,true
16.1098,11.589174,3.335201671,0,0,true
19.0092,13.864434,3.80837637,0,0,true
20.9264,16.1707,3.91525086,0,0,true
22.1256,18.3278,3.541803665,0,0,true
22.1256,20.05932,2.549132894,0,0,true
23.7842,21.5942,1.766992767,0,0,true
25.0615,22.80466,1.62041129,0,0,true
26.3722,23.89382,1.855469246,0,0,true
25.9481,24.65832,1.727876413,0,0,true
26.8249,25.59818,1.20467234,0,0,true
24.2143,25.6842,1.047919964,0,0,true
23.3581,25.34352,1.486204613,0,0,true
20.5489,24.17886,2.448634846,0,0,true
20.5489,23.09902,2.655154314,0,0,true
18.2515,21.38434,2.403903523,0,0,true
15.7594,19.69336,2.848210763,0,0,true
13.468,17.71534,3.090760038,0,0,true
11.3401,15.87358,3.66965304,0,0,true
8.86464,13.536728,3.66836647,0,0,true
6.93549,11.273526,3.520103048,0,0,true
5.43432,9.20851,3.248703882,0,0,true
3.44349,7.203608,3.050014264,0,0,true
1.79215,5.294018,2.790653589,0,0,true
0.984959,3.7180818,2.477486795,0,0,true
0.269767,2.3849372,2.073918398,0,0,true
0.0299741,1.30406802,1.379336336,0,0,true
0.089958,0.63336162,0.751328202,0,0,true
0.417562,0.35844402,0.382052614,0,0,true
1.3529,0.43203222,0.5369363,0,0,true
2.54323,0.88672482,1.066571801,0,0,true
4.10612,1.701954,1.647558199,0,0,true
6.25928,2.9358184,2.313891444,0,0,true
9.1132,4.674946,3.08674499,0,0,true
10.1885,6.442066,3.235030956,0,0,true
11.6044,8.2543,3.036836799,0,0,true
14.0834,10.249756,2.904793333,0,0,true
16.0902,12.21594,2.855205204,0,0,true
18.2306,14.03942,3.260848428,0,0,true
20.9041,16.18254,3.600762415,0,0,true
21.7146,18.20458,3.204022981,0,0,true
23.3345,20.0548,2.884373304,0,0,true
23.3345,21.50366,2.110736829,0,0,true
25.0371,22.86496,1.606815785,0,0,true
25.0371,23.69156,1.395018845,0,0,true
24.5998,24.2686,0.871200832,0,0,true
25.0371,24.60912,0.737265835,0,0,true
23.3345,24.60912,0.737265835,0,0,true
22.1026,24.02222,1.279791119,0,0,true
20.9041,23.19562,1.71957948,0,0,true
18.988,22.07326,2.305520499,0,0,true
17.8784,20.64152,2.226252728,0,0,true
16.0902,19.19266,2.387006535,0,0,true
13.7559,17.52332,2.736253328,0,0,true
11.0302,15.54854,3.20860105,0,0,true
9.1132,13.57358,3.579869537,0,0,true
6.92265,11.38243,3.638666192,0,0,true
5.42296,9.248982,3.299763215,0,0,true
3.93016,7.283834,2.838233315,0,0,true
2.54323,5.58644,2.561962603,0,0,true
1.25819,4.015438,2.247781409,0,0,true
0.476214,2.7261508,1.998311947,0,0,true
0.118214,1.6652016,1.571105583,0,0,true
0.0299741,0.88516442,1.045840981,0,0,true
0.317288,0.43997602,0.489252499,0,0,true
0.82284,0.35290602,0.314911422,0,0,true
1.91159,0.63998122,0.774420244,0,0,true
2.98055,1.21244842,1.221304074,0,0,true
5.04369,2.2151916,1.885406565,0,0,true
6.70623,3.49298,2.378166496,0,0,true
8.6195,5.052312,2.721060537,0,0,true
10.4864,6.767274,2.940084445,0,0,true
12.8314,8.737444,3.066059463,0,0,true
14.75,10.678706,3.211985477,0,0,true
17.1639,12.77024,3.379053347,0,0,true
19.3724,14.92082,3.496673724,0,0,true
22.1256,17.24866,3.676189852,0,0,true
23.3581,19.354,3.525204815,0,0,true
25.9481,21.59362,3.424694367,0,0,true
25.0615,23.17314,2.590534756,0,0,true
25.5029,24.39924,1.605384094,0,0,true
26.8249,25.3391,1.285178571,0,0,true
26.3722,25.94192,0.695109827,0,0,true
25.9481,25.94192,0.695109827,0,0,true
25.5029,26.0302,0.572569446,0,0,true
23.3581,25.60124,1.34660525,0,0,true
22.1256,24.66138,1.831626894,0,0,true
20.1529,23.41752,2.402237324,0,0,true
19.3724,22.10238,2.469522789,0,0,true
16.8222,20.36624,2.531799029,0,0,true
15.089,18.71242,2.777699502,0,0,true
12.5361,16.79452,3.121213188,0,0,true
9.66607,14.697154,3.758631718,0,0,true
7.6329,12.349254,3.774646901,0,0,true
5.64089,10.112992,3.774334375,0,0,true
3.77699,7.85059,3.419588849,0,0,true
2.55101,5.853572,2.870779133,0,0,true
1.57093,4.234544,2.432340154,0,0,true
0.605077,2.8289794,1.962859043,0,0,true
0.0914267,1.71908674,1.486548642,0,0,true
0.0167025,0.96702924,1.081029755,0,0,true
0.362763,0.52937984,0.627088306,0,0,true
0.980125,0.41121884,0.394174241,0,0,true
2.14772,0.71974744,0.883657051,0,0,true
2.68515,1.2384921,1.145200779,0,0,true
5.42296,2.3197436,1.963250942,0,0,true
6.48083,3.543357,2.313878521,0,0,true
8.60519,5.06837,2.685135333,0,0,true
10.4706,6.732946,2.984946954,0,0,true
12.8139,8.758696,2.988087476,0,0,true
15.0701,10.688124,3.384076344,0,0,true
16.8022,12.752398,3.323490545,0,0,true
18.6074,14.75284,3.211511749,0,0,true
21.3074,16.9202,3.255482352,0,0,true
21.7146,18.70034,2.858003716,0,0,true
22.5172,20.18976,2.396385772,0,0,true
22.9357,21.41646,1.696416691,0,0,true
24.1903,22.53304,1.127046376,0,0,true
23.3345,22.93846,0.921853021,0,0,true
24.1903,23.4336,0.748783006,0,0,true
23.3345,23.59706,0.565495347,0,0,true
22.9357,23.59706,0.565495347,0,0,true
21.7146,23.10192,0.900700256,0,0,true
19.7391,22.38284,1.725842437,0,0,true
17.5091,21.0466,2.42244049,0,0,true
15.74,19.5277,2.952249262,0,0,true
13.7559,17.69174,3.150736757,0,0,true
12.8139,15.9116,2.805084528,0,0,true
9.91019,13.945818,2.894808639,0,0,true
8.09788,12.063574,3.053966932,0,0,true
5.82774,10.081122,3.2797025,0,0,true
4.10612,8.151166,3.413165639,0,0,true
2.83092,6.15457,2.882305931,0,0,true
1.67025,4.506582,2.532581289,0,0,true
0.818422,3.0506904,1.985124244,0,0,true
0.26724,1.9385904,1.550373556,0,0,true
0.00728393,1.118823186,1.149597902,0,0,true
0.152219,0.583082986,0.680856388,0,0,true
0.538719,0.356776786,0.323351687,0,0,true
1.46283,0.485658386,0.579959121,0,0,true
2.55101,0.942412386,1.063045148,0,0,true
4.11601,1.7641576,1.607886077,0,0,true
5.43432,2.8205778,1.976917951,0,0,true
6.93549,4.099932,2.189446581,0,0,true
9.39507,5.68638,2.630342113,0,0,true
11.3401,7.444198,2.930835321,0,0,true
13.1478,9.250556,3.142402624,0,0,true
15.089,11.181492,3.177262145,0,0,true
17.1639,13.227174,3.050269547,0,0,true
18.6284,15.07384,2.943379091,0,0,true
20.5489,16.9156,2.903833243,0,0,true
23.7842,19.04288,3.31977929,0,0,true
22.1256,20.4502,2.648159067,0,0,true
22.9591,21.60924,2.051153864,0,0,true
23.3581,22.55518,1.277499557,0,0,true
22.5404,22.95348,0.653809037,0,0,true
22.5404,22.70472,0.469307124,0,0,true
21.3299,22.54558,0.759789291,0,0,true
20.5489,22.06354,1.113893901,0,0,true
18.6284,21.1176,1.6289051,0,0,true
16.8222,19.97396,2.263838906,0,0,true
12.5361,17.9731,3.507770295,0,0,true
13.774,16.46192,3.32279323,0,0,true
11.621,14.67634,2.956071744,0,0,true
9.92555,12.93577,2.586346283,0,0,true
8.11176,11.193682,2.221999647,0,0,true
6.05358,9.897178,2.998461234,0,0,true
4.29603,8.001584,2.930008794,0,0,true
2.83913,6.24521,2.848961088,0,0,true
1.46283,4.552666,2.620546083,0,0,true
0.675289,3.0653718,2.166548477,0,0,true
0.186284,1.8919126,1.677084901,0,0,true
0.00770611,1.034247822,1.155742654,0,0,true
0.150322,0.496486222,0.595976471,0,0,true
0.60129,0.324178222,0.295577873,0,0,true
1.45693,0.480506422,0.588880378,0,0,true
2.41273,0.925795622,1.005314523,0,0,true
3.76752,1.6777584,1.45326341,0,0,true
5.03275,2.654244,1.775048182,0,0,true
6.92265,3.918516,2.157309401,0,0,true
8.09788,5.246706,2.302344991,0,0,true
10.4706,6.85828,2.620828333,0,0,true
12.2102,8.546816,2.842069923,0,0,true
13.7559,10.291446,2.822971523,0,0,true
15.74,12.054916,2.943870533,0,0,true
16.4443,13.7242,2.466855666,0,0,true
17.5091,15.1319,2.131488101,0,0,true
18.2306,16.33598,1.7312953,0,0,true
19.7391,17.53262,1.561586545,0,0,true
18.988,18.18222,1.279546192,0,0,true
19.351,18.76356,0.895105247,0,0,true
18.2306,18.90786,0.672888853,0,0,true
17.5091,18.76356,0.895105247,0,0,true
17.1437,18.24448,0.939401606,0,0,true
16.4443,17.73574,1.109464467,0,0,true
14.7312,16.81178,1.329786726,0,0,true
12.8139,15.72844,1.947767791,0,0,true
11.3237,14.49136,2.436921586,0,0,true
10.1885,13.10032,2.527799565,0,0,true
9.1132,11.6341,2.209355154,0,0,true
6.69361,10.026582,2.31413284,0,0,true
5.22046,8.507894,2.510898447,0,0,true
3.59906,6.962966,2.71349955,0,0,true
2.2783,5.380926,2.66833714,0,0,true
1.06896,3.772078,2.247293623,0,0,true
0.476214,2.5285988,1.92337478,0,0,true
0.06681,1.4978688,1.440464152,0,0,true
0.0299741,0.78405162,0.934315719,0,0,true
0.317288,0.39184922,0.420642335,0,0,true
1.07401,0.39285922,0.422675738,0,0,true
2.28567,0.75475042,0.953359526,0,0,true
3.60832,1.46305242,1.482962934,0,0,true
6.49325,2.7557076,2.433675379,0,0,true
8.6195,4.41615,3.096123776,0,0,true
11.621,6.525548,3.769485836,0,0,true
15.089,9.086214,4.455535511,0,0,true
20.1529,12.39513,5.411256269,0,0,true
23.7842,15.85332,6.16867318,0,0,true
28.1804,19.7655,6.620292723,0,0,true
35.4585,24.533,7.771827174,0,0,true
41.914,29.898,8.811910838,0,0,true
47.6888,35.40518,9.753198492,0,0,true
55.0959,41.66752,10.45337613,0,0,true
62.3809,48.50762,10.61012671,0,0,true
70.0773,55.43138,11.24253591,0,0,true
78.2644,62.70146,12.04092375,0,0,true
89.3299,71.02968,13.38686851,0,0,true
101.127,80.2359,15.3706204,1,0,false
111.791,90.11792,16.83504976,1,1,true
122.019,100.50626,17.3935334,1,1,true
132.75,111.40338,17.03938326,1,1,true
147.05,122.9474,17.87794268,1,1,true
159.855,134.693,19.20109907,1,1,true
172.105,146.7558,20.13907423,1,1,true
184.807,159.3134,20.43188196,1,1,true
196.66,172.0954,19.63481534,1,1,true
206.492,183.9838,18.64998425,2,1,false
216.563,195.3254,17.51665979,2,1,false
225.48,206.0004,16.02863283,2,1,false
232.045,215.448,14.23502316,2,1,false
238.629,223.8418,12.67511304,2,1,false
238.629,230.2692,9.403753676,2,1,false
238.629,234.6824,5.881475138,2,1,false
238.629,237.3122,2.944454313,2,1,false
