1,1585,1,4220,0,4220,0,0.928328,0.964164,83,25*4*4,64*16*1
2,7943,1,13322,0,13322,0,0.579485,0.789743,107,25*4*13,64*16*3
3,15849,1,13322,1,13322,0,0.290419,0.645209,107,25*4*13,64*16*3
4,15849,1,13322,1,13322,0,0.290419,0.645209,107,25*4*13,64*16*3
5,19953,1,13323,1,13323,0,0.230685,0.615342,107,25*4*13,64*16*3
6,12589,1,13322,1,13322,0,0.365625,0.682812,107,25*4*13,64*16*3
7,1585,1,4220,0,4220,0,0.928328,0.964164,83,25*4*4,64*16*1
8,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
9,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
10,20,0,0,0,0,0,0,0,0,1*1*1,1*1*1
11,1585,1,4220,1,4220,0,0.928328,0.964164,83,25*4*4,64*16*1
12,316,1,528,1,528,0,0.809652,0.904826,23,25*2*1,64*2*1
13,20,0,0,0,0,0,0,0,0,1*1*1,1*1*1
14,200,1,197,0,197,0,0.70525,0.852625,14,25*1*1,32*1*1
15,126,1,56,0,56,0,0.819444,0.909722,4,5*1*1,16*1*1
16,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
17,1000,1,2110,0,2110,0,0.7693,0.88465,65,25*4*2,64*8*1
18,1585,1,4221,1,4221,0,0.928328,0.964164,83,25*4*4,64*16*1
19,1000,1,2110,0,2110,0,0.7693,0.88465,65,25*4*2,64*8*1
20,200,1,197,0,197,0,0.70525,0.852625,14,25*1*1,32*1*1
21,16,0,0,0,0,0,0,0,0,1*1*1,1*1*1
22,316,1,528,1,528,0,0.809652,0.904826,23,25*2*1,64*2*1
23,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
24,200,1,198,1,198,0,0.70525,0.852625,14,25*1*1,32*1*1
25,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
26,32,0,0,0,0,0,0,0,0,1*1*1,1*1*1
27,63,0,0,0,0,0,0,0,0,1*1*1,1*1*1
28,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
29,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
30,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
31,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
32,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
33,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
34,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
35,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
36,63,0,0,0,0,0,0,0,0,1*1*1,1*1*1
37,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
38,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
39,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
40,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
41,63,0,0,0,0,0,0,0,0,1*1*1,1*1*1
42,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
43,50,0,0,0,0,0,0,0,0,1*1*1,1*1*1
44,63,0,0,0,0,0,0,0,0,1*1*1,1*1*1
45,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
46,100,1,43,0,43,0,0.9485,0.97425,3,5*1*1,8*1*1
47,100,1,44,1,44,0,0.9485,0.97425,3,5*1*1,8*1*1
48,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
49,126,1,56,0,56,0,0.819444,0.909722,4,5*1*1,16*1*1
50,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
51,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
52,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
53,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
54,40,0,0,0,0,0,0,0,0,1*1*1,1*1*1
55,63,0,0,0,0,0,0,0,0,1*1*1,1*1*1
56,79,0,0,0,0,0,0,0,0,1*1*1,1*1*1
57,158,1,197,0,197,0,0.892722,0.946361,5,25*1*1,32*1*1
58,316,1,528,1,528,0,0.809652,0.904826,23,25*2*1,64*2*1
59,1000,1,2110,0,2110,0,0.7693,0.88465,65,25*4*2,64*8*1
60,3162,1,7707,0,7707,0,0.871015,0.935508,97,25*4*7,64*16*2
61,5012,1,13322,0,13322,0,0.918366,0.959183,107,25*4*13,64*16*3
62,15849,1,13322,1,13322,0,0.290419,0.645209,107,25*4*13,64*16*3
63,6310,1,13322,1,13322,0,0.729453,0.864727,107,25*4*13,64*16*3
64,15849,1,13323,1,13323,0,0.290419,0.645209,107,25*4*13,64*16*3
65,794,1,2110,0,2110,0,0.968892,0.984446,60,25*4*2,64*8*1
