0	1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1526	2228.8	36	8	2	1450.4	72	12	1	1125.6	108	16	1	1526	144	10	1	1114.4	90	6	2	1352.4
2228.8	2251.2	36	8	2	1450.4	72	12	1	1125.6	108	16	1	1526	144	10	2	2228.8	90	6	2	1352.4
2251.2	3052	36	8	2	1450.4	72	12	2	2251.2	108	16	1	1526	144	10	2	2228.8	90	6	2	1352.4
3052	999999	36	8	2	1450.4	72	12	2	2251.2	108	16	2	3052	144	10	2	2228.8	90	6	2	1352.4

